question,user,category,detail1,detail2,detail3,detail4
리모컨이 분실되었는데 어떻게 하죠?,개인,TV,장애/고장,,,
군입대로 U+휴대폰 정지를 하고 싶은데 어떻게 해야하나요?,개인,가입 및 변경,군입대 일시정지,,,
스마트 주말할인에서 공휴일로 요금 할인을 받을 수 있는 건 어떤 날입니까?,개인,혜택,기타 할인 혜택,,,
은행 자동이체 출금일 변경이 가능한가요?,개인,요금 및 납부,요금납부,,,
인터넷이 가끔 끊어지는데 왜 그런가요?,개인,인터넷,장애/고장,,,
홈페이지에서 선택약정할인 가입을 할 수 있나요?,개인,혜택,요금할인,선택약정할인,,
어떻게 이용할 수 있나요?,개인,모바일,요금제,데이터혜택,,
부가세란 무엇인가요?,개인,요금 및 납부,요금납부,,,
베이직플랜과 식스플랜에 대해 알려주세요.,개인,혜택,휴대폰 살때 할인,단통법,,
인터넷 약정기간이 끝나가는데 재약정은 어디서 하나요?,개인,가입 및 변경,인터넷,,,
해지했는데 요금청구서가 나왔어요. 왜 그런가요?,개인,요금 및 납부,요금조회,,,
지원금을 많이 받기 위해 고가의 요금제로 개통하였습니다. 추후 저가 요금제로 변경할 수 있나요?,개인,혜택,휴대폰 살때 할인,단통법,,
데이터 통화료는 유료인가요?,개인,모바일,부가서비스,안심/안전,널 지켜줄게,
고객센터 앱으로 일시정지/해제를 할 수 있나요?,개인,서비스안내,고객센터 앱,,,
요금을 납부하였으나 미납으로 보이는데 왜 그런가요?,개인,요금 및 납부,요금조회,,,
U+인터넷을 이전하려는 주소지가 설치불가능 지역일때는 어떻게 하나요?,개인,가입 및 변경,설치장소 변경,,,
"지인에게 '대통령 공약으로 휴대폰 요금 25 % 할인'을 해준다는 문자가 왔는데, 정말 받을 수 있는건가요?",개인,혜택,요금할인,선택약정할인,,
데이터를 다 소진하지 못하고 유효기간이 만료되면 남은 데이터에 대해서 소급되나요?,개인,모바일,부가서비스,신규/변경불가 부가서비스,U+ LTE블랙박스,
"인터넷은 잘 되는데 TV화면이 검은색으로 신호없음, 자동채널검색 이라고 나와요.",개인,TV,장애/고장,,,
FREE_U+zone에 접속해서 웹브라우저를 실행했는데 이미지나 글자가 아무것도 나오지 않아요. 어떻게 해야 하죠?,개인,인터넷,U+zone,상품안내,,
선택약정할인의 약정기간이 있나요?,개인,혜택,휴대폰 살때 할인,단통법,,
납부계좌를 다른 사람 명의의 계좌로 변경할 수 있나요?,개인,요금 및 납부,요금납부,,,
인터넷전화 해지할 경우 단말기 대금 및 단말기 처리는 어떻게 해야하나요?,개인,가입 및 변경,인터넷전화,,,
미납금은 어떻게 납부하나요?,개인,요금 및 납부,요금납부,,,
분실한 폰을 찾았습니다. 다시 사용하고 싶은데 어떻게 해야 하나요?,개인,모바일,단말기(휴대폰),휴대폰분실파손,,
"상대방이 ""발신자번호강제표시"" 이용 중일때 ""발신번호표시제한"" 으로 전화를 걸면 어떻게 되나요?",개인,모바일,부가서비스,통화/메시지,발신자미표시번호차단,
LTE 요금제의 기본 데이터 제공량을 초과한 후 추가 과금은 어떻게 되나요?,개인,모바일,요금제,기타,,
해지시 별도의 위약금이 있나요?,개인,혜택,신청/변경불가,(구) 가족 무한사랑 클럽,,
와이파이 장비에 전원이 들어 오지 않습니다.,개인,인터넷,장애/고장,,,
휴대폰을 분실했는데 어떻게 해야 하나요?,개인,모바일,단말기(휴대폰),휴대폰분실파손,,
국제전화 사용 시 요금 부과는 어떻게 되나요?,개인,요금 및 납부,요금조회,,,
집에 누가 들어온 적이 없는데 휴대폰으로 알림이 왔습니다.,개인,U+스마트홈,스마트홈 기기,맘카,,
연체료 부과기준은 어떻게 되나요?,개인,요금 및 납부,요금조회,,,
가입하면 돈 드는거 아니에요?,개인,인터넷,U+zone,가입신청,,
019-114로 발송되는 문자차단이 가능한가요?,개인,모바일,부가서비스,통화/메시지,스팸차단,
U+ 휴대폰 잔여 할부금 중 일부만 납부할 수 있나요?,개인,요금 및 납부,요금납부,,,
영화관람 혜택은 LTE음성/데이터 80 요금제 이상 고객만 받을 수 있는 건가요?,개인,혜택,신청/변경불가,U클럽,,
차단번호는 어떻게 설정하나요?,개인,모바일,부가서비스,통화/메시지,지정번호필터링,
사용하던 U+인터넷 서비스를 일시정지하려고 하는데 어떻게 해야 하나요?,개인,가입 및 변경,인터넷,,,
KT나 SKT의 와이파이존에 비교해서 장점이 뭐죠?,개인,인터넷,U+zone,상품안내,,
"""인터넷 연결이 올바르지 않습니다"" 라고 나오며 TV 시청이 안되요.",개인,TV,장애/고장,,,
LG U+ 인터넷과 휴대폰을 이용하고 있는데요. 청구서를 한장으로 통합하여 받을 수 있나요?,개인,요금 및 납부,요금조회,,,
서비스 신청은 어떻게 하나요?,개인,모바일,부가서비스,데이터,데이터 안심옵션,
휴대폰 소액결제 이용이 안 됩니다.,개인,모바일,부가서비스,생활편의,휴대폰소액결제,
ez포인트(이지포인트)가 뭔가요?,개인,혜택,멤버십 혜택,멤버십카드 / 앱,,
소액결제 차단 및 해제는 어떻게 하나요?,개인,모바일,부가서비스,생활편의,휴대폰소액결제,
U+ 인터넷전화 서비스에 가입하려면 어떻게 해야 하나요?,개인,가입 및 변경,인터넷전화,,,
요금제 변경 시 지원금 반환금은 발생하나요?,개인,혜택,신청/변경불가,O클럽,,
나만의 콕 멤버십은 어떤 서비스인가요?,개인,혜택,멤버십 혜택,멤버십제휴사,,
"요금제에 해당되는 데이터를 모두 소진했을 경우, 추가로 서비스 이용이 가능한가요?",개인,모바일,부가서비스,신규/변경불가 부가서비스,U+ LTE블랙박스,
서비스 해지는 어떻게 하나요?,개인,모바일,부가서비스,생활편의,간편결제매니저,
문자차단 시 상대방에게 알려주기 싫을때는 어떻게 해야 하나요?,개인,모바일,부가서비스,통화/메시지,지정번호필터링,
리모컨의 전원 버튼만 작동되지 않습니다.,개인,TV,장애/고장,,,
U+TV 를 3년 약정으로 가입할 경우 초고속 인터넷 요금은 어떻게 되나요?,개인,혜택,기타 할인 혜택,,,
서비스 사용시 유의해야 할 점이 있나요?,개인,모바일,부가서비스,통화/메시지,발신자미표시번호차단,
미납 문자메시지를 받았어요. 어떻게 해야 하나요?,개인,요금 및 납부,요금납부,,,
U+모바일(휴대폰) 미납 정지시 기본요금이 모두 부과되나요?,개인,가입 및 변경,모바일,,,
U+Box서비스는 무엇인가요?,개인,모바일,부가서비스,생활편의,U+ Box,
070국번으로 수신이 되는 문자를 차단할 수 있나요?,개인,모바일,부가서비스,통화/메시지,스팸차단,
요금제를 변경하면 멤버십 등급도 변경되나요?,개인,혜택,멤버십 혜택,멤버십제휴사,,
현재 사용하고 있는 단말기가 개통한지 24개월이 지난 단말기 입니다. 자동으로 선택약정할인에 가입되는 것인가요?,개인,혜택,휴대폰 살때 할인,단통법,,
단말기 할부금이 뭔가요?,개인,전화,인터넷전화,요금안내,,
셋톱박스의 전원이 들어오지 않습니다.,개인,TV,장애/고장,,,
데이터 통화료는 부과되나요?,개인,모바일,부가서비스,통화/메시지,자녀폰지킴이,
단말기 할부금을 확인할 수 있나요?,개인,요금 및 납부,요금조회,,,
식스플랜이 뭔가요?,개인,U+Shop,모바일,요금할인/혜택,,
지로로 요금 납부 하고 싶은데 어떻게 해야되나요?,개인,인터넷,요금안내,,,
통화상세내역 열람은 어떻게 해야 하나요?,개인,요금 및 납부,요금조회,,,
AI리모컨에 등록한 가전제품이 실행되지 않아요. 어떻게 해야 하나요?,개인,U+스마트홈,스마트홈 기기,AI리모컨,,
인터넷전화 상품은 어떤 요금제가 있나요?,개인,전화,인터넷전화,요금안내,,
약정할인 프로그램은 최대 몇개월까지 제공되나요?,개인,혜택,요금할인,,,
U+광랜을 저희 아파트에서도 이용 가능한가요?,개인,인터넷,상품안내,,,
아이폰은 벨소리 구매를 어디서 해야 되나요?,개인,모바일,부가서비스,뮤직,벨소리,
"링을 충전했는데, 이번 달에 다 사용을 못하면 어떻게 되나요?",개인,모바일,요금제,청소년요금제,,
납부방법을 변경하면 언제부터 적용되나요?,개인,요금 및 납부,요금납부,,,
"데이터가 부족한데, 이번달만 추가로 이용할 수 있는 방법이 있나요?",개인,모바일,요금제,데이터혜택,,
청구서 받는 방법과 주소를 변경하고 싶어요.,개인,요금 및 납부,요금조회,,,
LTE 통합요금제에 대해서 알려주세요.,개인,모바일,요금제,기타,,
가족이면 무조건 가족 무한사랑 클럽에 가입할 수 있는 것인가요?,개인,혜택,신청/변경불가,(구) 가족 무한사랑 클럽,,
U+zone을 이용하고 싶은데 아이디와 비밀번호를 모르겠어요,개인,인터넷,U+zone,이용안내,,
AP를 공유해서 우리집 AP를 남들이 사용하면 내가 손해 아닌가요?,개인,인터넷,U+zone,상품안내,,
U+부모안심플러스 서비스 해지는 어떻게 하나요?,개인,인터넷,부가서비스,부모안심플러스,,
지니뮤직 마음껏 듣기_멤버십 상품을 해지하고 싶습니다.,개인,모바일,부가서비스,뮤직,지니뮤직 마음껏 듣기_멤버십,
홈페이지 또는 고객센터 앱으로 군입대 일시정지를 신청할 수 있나요?,개인,가입 및 변경,군입대 일시정지,,,
맘카를 와이파이에 자동으로 연결할 수 있나요?,개인,U+스마트홈,스마트홈 기기,맘카,,
아이디와 비밀번호가 정확한데 로그인이 되지 않습니다.,개인,서비스안내,홈페이지이용관련,,,
U+모바일(휴대폰) 미납으로 발신 정지가 되었습니다. 수신은 언제까지 가능한가요?,개인,가입 및 변경,모바일,,,
"홈 IoT를 이용하고 있는데요. 이사를 하거나, 집안에서 단말 위치를 변경할 경우, 부착된 홈 IoT 단말은 어떻게 하나요?",개인,가입 및 변경,설치장소 변경,,,
납기일은 어떻게 되나요?,개인,요금 및 납부,요금납부,,,
월 중 가입/해지 시 일할 계산되나요?,개인,혜택,요금할인,장기할인,,
꼭 받아야하는 문자메시지가 스팸 처리됩니다. 어떻게 해야 하나요?,개인,모바일,부가서비스,통화/메시지,스팸차단,
구글셋톱박스로 바꾸고 싶은데 어떻게 해야 하나요?,개인,TV,장비안내,셋톱박스,,
한 대의 맘카 영상을 여러 사람이 동시에 확인할 수 있나요?,개인,U+스마트홈,스마트홈 기기,맘카,,
"전화 수신 시 화면에 나타나는 ""발신번호표시제한"" 과 ""발신번호확인불가"" 는 어떤 차이가 있나요?",개인,모바일,부가서비스,통화/메시지,발신자미표시번호차단,
가족사랑데이터는 어떤 서비스인가요?,개인,모바일,요금제,데이터혜택,,
통화연결음 서비스 변경은 어떻게 하나요?,개인,모바일,부가서비스,뮤직,뮤직벨링 앱,
"플라스틱 멤버십 카드를 오늘 신청했는데, 바로 받을 수 있는 방법은 없나요?",개인,혜택,멤버십 혜택,멤버십카드 / 앱,,
입금전용계좌가 무엇인가요?,개인,요금 및 납부,요금납부,,,
선택약정할인의 할인반환금이 발생되는 경우는 어떤 경우인가요?,개인,혜택,요금할인,선택약정할인,,
사용자 인증번호와 구매 비밀번호를 모르겠어요.,개인,TV,장애/고장,,,
오늘까지 사용한 금액(실시간 요금)을 확인할 수 있나요?,개인,요금 및 납부,요금조회,,,
데이터쉐어링 요금제는 누가 이용할 수 있나요?,개인,모바일,부가서비스,신규/변경불가 부가서비스,U+ LTE블랙박스,
멤버십 카드 가맹점을 알고 싶어요.,개인,혜택,멤버십 혜택,멤버십카드 / 앱,,
와이파이 장비의 펌웨어 업데이트는 어떻게 하나요?,개인,인터넷,장비안내,와이파이,,
회원 탈퇴는 어떻게 하나요?,개인,서비스안내,U+ ID,,,
U+ 인터넷/IPTV/인터넷전화 미납으로 서비스가 중지되었습니다. 요금은 어떻게 청구되나요?,개인,요금 및 납부,요금조회,,,
데이터로밍은 어떻게 설정하나요?,개인,해외로밍,WCDMA/GSM,,,
"문자를 많이 보내는 경우, 자동 차단 될 수 있나요?",개인,전화,인터넷전화,장애/고장,,
"휴대폰에 데이터 안심옵션 부가서비스 등록 시, 쉐어링 전용 단말기에서도 적용이 되나요?",개인,모바일,부가서비스,데이터,데이터 안심옵션,
아이폰도 휴대폰 분실/파손 보상(구.폰케어플러스)에 가입이 가능한가요?,개인,모바일,단말기(휴대폰),아이폰,,
홈페이지 아이디와 비밀번호를 잊어버렸어요.,개인,서비스안내,U+ ID,,,
청구지 주소 및 수취인을 변경하고 싶은데 어떻게 해야 하나요?,개인,가입 및 변경,모바일,,,
"데이터쉐어링 결합 해제 시, 쉐어링 전용 단말기 또한 자동으로 해지되나요?",개인,모바일,부가서비스,데이터,데이터 안심옵션,
"신용카드로 자동이체가 되어 있는데, 요금이 왜 결제되지 않나요?",개인,요금 및 납부,요금납부,,,
널 지켜줄게 서비스는 무엇인가요?,개인,모바일,부가서비스,안심/안전,널 지켜줄게,
결합할 수 있는 가족의 범위는 어떻게 되나요?,개인,혜택,신청/변경불가,(구) 가족 무한사랑 클럽,,
개인 인터넷 해지시 가입자가 아닌 대리인도 해지 신청 가능한가요?,개인,가입 및 변경,인터넷,,,
정전 후 인터넷이 되지 않습니다.,개인,인터넷,장애/고장,,,
"번호이동을 하고 싶은데, 어디에서 신청을 해야 하나요?",개인,가입 및 변경,모바일,,,
"요금을 신용카드로 결제했는데, 연말정산(소득공제) 대상에 포함이 되나요?",개인,요금 및 납부,요금납부,,,
1년 약정 하였는데 3년으로 약정을 변경하고 싶어요. 가능한가요?,개인,가입 및 변경,인터넷,,,
임대폰은 어떻게 이용하나요?,개인,모바일,단말기(휴대폰),휴대폰분실파손,,
타사 보다 느린 것 같아요.,개인,인터넷,속도/품질,,,
데이터 소모량은 얼마나 되나요?,개인,모바일,부가서비스,신규/변경불가 부가서비스,U+ LTE블랙박스,
휴대폰 분실/파손 보험의 상품 종류에 대해 알고싶어요.,개인,모바일,부가서비스,안심/안전,휴대폰 분실/파손 보험,
매너콜 서비스와 다른 점은 무엇인가요?,개인,모바일,부가서비스,통화/메시지,통화가능안내,
LG U+인터넷 등 서비스 이용료를 연말에 소득공제 받을 수 있나요?,개인,인터넷,요금안내,,,
고객센터 앱으로 요금을 납부할 수 있나요?,개인,서비스안내,고객센터 앱,,,
해외에서 자동로밍을 이용하려면 어떻게 해야 합니까?,개인,해외로밍,CDMA자동로밍,,,
부모안심플러스 사용 시 모든 유해물이 차단 되나요?,개인,인터넷,부가서비스,부모안심플러스,,
멤버십 카드를 재발급받는 방법을 알려주세요.,개인,혜택,멤버십 혜택,멤버십카드 / 앱,,
간편결제매니저는 어떻게 사용 하나요?,개인,모바일,부가서비스,생활편의,간편결제매니저,
"TV가 거실과 안방에 각각 있는데, U+ TV 2대 사용이 가능한가요?",개인,가입 및 변경,TV,,,
일시정지를 하게 되면 그 기간도 약정 기간의 일수에 포함되나요?,개인,가입 및 변경,인터넷,,,
착신전환 부가서비스 신청을 하였으나 이용이 되지 않습니다.,개인,전화,인터넷전화,장애/고장,,
휴대폰 번호변경 횟수 제한이 있나요?,개인,서비스안내,홈페이지이용관련,,,
청소년 요금제를 월 중에 가입하면 몇 링을 사용할 수 있나요?,개인,모바일,요금제,청소년요금제,,
음성사서함 비밀번호를 잊어버렸어요.,개인,서비스안내,통화품질,,,
감지기능은 어떤 상황에서 작동하나요?,개인,U+스마트홈,스마트홈 기기,맘카,,
VoLTE서비스 가입자인데 듀얼넘버 이용이 되질 않습니다. 왜 그런가요?,개인,모바일,부가서비스,통화/메시지,듀얼넘버,
인터넷 상품별 기본료는 다른가요?,개인,인터넷,요금안내,,,
휴대폰 소액결제 이용한도 확인 및 변경은 어떻게 하나요?,개인,모바일,부가서비스,생활편의,휴대폰소액결제,
해외 로밍 시 스마트폰을 이용하면 데이터를 사용하지 않아도 데이터 로밍 요금이 부과되나요?,개인,해외로밍,WCDMA/GSM,,,
휴대폰 소액결제 최대 가능한도는 얼마인가요?,개인,모바일,부가서비스,생활편의,휴대폰소액결제,
U+ 휴대폰 정지는 대리인도 신청할 수 있나요?,개인,가입 및 변경,모바일,,,
"같은 사람이 계속 전화를 하면, 매번 문자메시지가 오나요?",개인,모바일,부가서비스,통화/메시지,매너콜,
갑자기 TV소리가 안 나오는데 어떻게 해야 하나요?,개인,TV,장애/고장,,,
받은 데이터 사용량은 어디에서 확인할 수 있나요?,개인,모바일,요금제,데이터혜택,,
U+부모안심플러스는 어떤 서비스인가요?,개인,인터넷,부가서비스,부모안심플러스,,
청구서를 받지 못했습니다. 다시 받고싶은데 어떻게 해야하나요?,개인,요금 및 납부,요금조회,,,
U+모바일 할인번호 대상 변경은 어떻게 하나요?,개인,가입 및 변경,모바일,,,
모뎀 장비에 전원이 들어 오지 않습니다.,개인,인터넷,장애/고장,,,
25 % 요금할인을 받을 수 있다는데 어떤 할인인가요?,개인,혜택,요금할인,선택약정할인,,
"지원금을 받고 단말을 구입하였으나, 중도에 선택약정할인으로 변경하고 싶은데, 가능한가요?",개인,혜택,휴대폰 살때 할인,단통법,,
"투넘버(넘버플러스, 듀얼넘버) 사용자도 서비스가입이 가능 한가요?",개인,모바일,부가서비스,안심/안전,로그인플러스,
매너콜 서비스가 뭐죠?,개인,모바일,부가서비스,통화/메시지,매너콜,
"부모안심플러스를 해지했는데도, 유해사이트 차단창이 나타납니다. 어떻게 하나요?",개인,인터넷,부가서비스,부모안심플러스,,
PC/노트북에서 와이파이 접속방법을 알려주세요,개인,인터넷,장비안내,와이파이,,
우리집에 설치된 와이파이의 ID와 비밀번호는 어디서 확인할 수 있나요?,개인,인터넷,장애/고장,,,
약정 할인을 받고 있습니다. 장기할인을 추가로 받을 수 있나요?,개인,혜택,요금할인,장기할인,,
서비스 해지는 어떻게 하나요?,개인,모바일,부가서비스,생활편의,PASS스탁,
인터넷 제휴카드는 어떻게 신청하면 되나요?,개인,혜택,기타 할인 혜택,,,
"단말기 지원금 또는 선택약정할인을 제공 받는 경우에도 한방에yo할인, 가족친구할인 등 결합할인을 추가로 받을 수 있나요?",개인,혜택,휴대폰 살때 할인,단통법,,
스미싱으로 인한 소액결제 피해를 예방할 수 있는 방법은?,개인,모바일,부가서비스,안심/안전,스미싱예방,
"휴대폰을 떨어뜨려서 휴대폰 액정 일부를 교체하였는데, 얼마를 보상받을 수 있나요?",개인,모바일,부가서비스,안심/안전,휴대폰 분실/파손 보험,
휴대폰을 일시 정지했습니다. 그래도 이용이 가능한가요?,개인,모바일,부가서비스,안심/안전,로그인플러스,
가족 무한사랑 클럽 할인을 받기 위해서는 별도로 무언가를 신청해야 하나요?,개인,혜택,신청/변경불가,(구) 가족 무한사랑 클럽,,
서비스 사용 시 유의해야 하는 사항이 있나요?,개인,모바일,부가서비스,통화/메시지,스팸차단,
"링 요금제 & 자동 상한 옵션 37,000으로 설정한 후 월 중에 후불 충전을 하면 링 소진은 어떵게 되나요?",개인,모바일,요금제,청소년요금제,,
망내 무료통화 요금제가 무엇인가요?,개인,모바일,요금제,,,
널 지켜줄게 서비스는 유료인가요?,개인,모바일,부가서비스,안심/안전,널 지켜줄게,
데이터 주기 이용 방법을 알려주세요.,개인,모바일,요금제,데이터혜택,,
인터넷이 느린 것 같습니다. 속도 측정방법을 알려주세요.,개인,인터넷,속도/품질,,,
요금납부를 위해 전용 가상계좌는 어디서 확인하나요?,개인,요금 및 납부,요금납부,,,
영화관람 혜택은 LTE음성/데이터 80 요금제 이상 고객만 받을 수 있는 건가요?,개인,혜택,신청/변경불가,O클럽,,
전화 발신이 되지 않습니다.,개인,전화,인터넷전화,장애/고장,,
U+ 인터넷 홈서비스 가입상품 해지는 어떻게 해야 하나요?,개인,가입 및 변경,인터넷,,,
외장 메모리 카드는 별도로 구매해야 하나요?,개인,U+스마트홈,스마트홈 기기,맘카,,
요금청구서를 못받았습니다. 어떻게 해야 하나요 ?,개인,요금 및 납부,요금조회,,,
선호번호(골드번호) 추첨은 언제 하나요?,개인,서비스안내,홈페이지이용관련,,,
1년(12개월) 약정과 2년(24개월) 약정의 기준할인율(25 % )에 차이가 있나요?,개인,혜택,요금할인,선택약정할인,,
이번달 사용요금 조회(실시간 요금 조회) 코너는 어디 있나요?,개인,서비스안내,홈페이지이용관련,,,
무선방식으로 U+인터넷 서비스를 이용할수 있나요?,개인,인터넷,상품안내,,,
접속자가 많다는 메시지만 보이고 맘카 앱에 접속할 수 없어요.,개인,U+스마트홈,스마트홈 기기,맘카,,
약정이 변경되면 요금이 달라지나요?,개인,혜택,기타 할인 혜택,,,
멤버십 포인트 이용 내역을 확인하려면 어떻게 해야 하나요?,개인,혜택,멤버십 혜택,멤버십카드 / 앱,,
단말기 지원금 또는 선택약정할인을 제공 받는 경우에도 LTE플러스약정 및 세이브 약정 할인을 받을 수 있나요?,개인,혜택,휴대폰 살때 할인,단통법,,
"단말기 할부 이자를 내기 부담스러운데, 남은 할부금을 모두 일시불로 납부하면 안내도 되나요?",개인,요금 및 납부,요금조회,,,
분실 및 도난 시 휴대폰 분실/파손 보험으로 보상되는 금액은 얼마인가요?,개인,모바일,부가서비스,안심/안전,휴대폰 분실/파손 보험,
링 요금제 자동 상한 옵션에 대해 설명해 주세요.,개인,모바일,요금제,청소년요금제,,
내가 이용하는 요금제와 부가서비스를 확인할 수 있나요?,개인,가입 및 변경,모바일,,,
아이지킴이 설정방법이 어떻게 되나요?,개인,모바일,부가서비스,안심/안전,널 지켜줄게,
납부한 요금 내역은 어디서 확인을 할 수 있나요?,개인,요금 및 납부,요금납부,,,
선결제 서비스는 무엇인가요?,개인,모바일,부가서비스,생활편의,휴대폰소액결제,
앱 비밀번호를 분실할 경우 어떻게 하나요?,개인,모바일,부가서비스,생활편의,간편결제매니저,
LTE음성/데이터 요금제 이용시 Face Time(페이스 타임)을 무제한으로 이용 가능한가요?,개인,모바일,단말기(휴대폰),아이폰,,
서비스를 해지 하려고 합니다 어떻게 하면 되나요?,개인,모바일,부가서비스,안심/안전,유비키인증서,
추가 혜택 3만원은 언제 제공되는 건가요?,개인,혜택,제휴 우대 혜택,LG U+ 동부증권 3&3,,
