	2021년 3월 12일	별표 5개 만점에 1개를 받았습니다.	일시적인 오류(10)와이파이 끄라고해서 껏고 메일 보내라고 해서 보냈고 그럼 피드백 이 있어야하는거 아닌가요? 유관 부서로 메일 포워딩 하려고 보내라고 했습니까? 메일에도 말했듯이 이용료 내면서 이용하는 고객의 입장에서 내가 왜 이런 불편을 느껴야 하는지 이해가 전혀 가지 않네요 벌써 열흘도 훨씬 넘었네요 빠른 답변 바랍니다 ㅡ.ㅡ	0
2650	2019년 11월 27일	별표 5개 만점에 1개를 받았습니다.	전에 어플아이콘바뀌고나서부터 영화볼라는데 데이터어찌구하면서 스트리밍안된다고뜨는거 너무 역겹네요 무료영화보면서 이런소리하면 좀그럴수도잇겟지만 돈주고사서보는건데 이러면 너무아니지않나 싶네요 이럴거면 뭣하러 바꾼건지	0
6384	2019년 2월 7일	별표 5개 만점에 1개를 받았습니다.	최악이네요 유플러스영화보는거 타회사에 비해 자부심도 있었고 계속 써야겠다고 생각했는데 업데이트 되면서 진짜 유플러스 쓸이유가 없어졌네요 엄청버벅거리고 10초 누르면 거의 30초후에 로딩되고 들어가면 내가본목록 싹다뜨고 지우거나 수정도 안됨 내가 뭘 설정할수 있는게 없음	0
171	2021년 1월 19일	별표 5개 만점에 4개를 받았습니다.	우선 제 폰 기종은 삼성_갤럭시 S10E 이구요, 제 폰으로 영상을 보았을 때는 별로 문제가 없었는데, 아이패드로 보았을 때 화질이 조금 깨지고, 소리가 먹통이 되거나, 화면이 멈추는 경우가 있더라구요 ㅠㅠ 이 점은 어떻게 고칠 수 없을까요?	1
6824	2019년 2월 22일	별표 5개 만점에 5개를 받았습니다.	새로운 U+모바일 TV 새 단장 좋아요 항상 응원합니다	1
8119	2019년 2월 2일	별표 5개 만점에 2개를 받았습니다.	메뉴 볼때 가로모드 지원 좀해주세요	0
7001	2019년 11월 14일	별표 5개 만점에 5개를 받았습니다.	카툰네트워크(CN), 부메랑 HD 채널 추가 바랍니다	1
10452	2019년 2월 23일	별표 5개 만점에 4개를 받았습니다.	정말 좋네요	1
12550	2019년 10월 11일	별표 5개 만점에 5개를 받았습니다.	Good good	1
13645	2019년 2월 15일	별표 5개 만점에 2개를 받았습니다.	지상파를 실시간으로 못보는게 아쉽고 앱이 두 개로 나뉜점과 카타고리나 목록을 보기에 불편하니 추후 업데이트 때 개선해주세요	0
7395	2019년 2월 27일	별표 5개 만점에 5개를 받았습니다.	전에보다 불편한점도 있지만 전체적으로 더 나아진거 같아요	1
2634	2019년 5월 7일	별표 5개 만점에 3개를 받았습니다.	영화를 보려는데, 로그인을 하라해서 로그인을 하면 영화가 재생이 되는 것이 아니라 또 다시 로그인을 하라고 뜹니다	1
1653	2018년 11월 5일	별표 5개 만점에 1개를 받았습니다.	왜 자꾸 로그인에 실패한다고 하죠 비밀번호 틀리면 틀렸다고 뜨는데 이건 틀린 것도 아닌데 왜 자꾸 로그인이 안되나요? 심지어 비밀번호 바꾸고 바로 로그인했는데도 자꾸 실패했다고 하네요 강제로 보지말라는건가요;	0
128	2021년 1월 20일	별표 5개 만점에 5개를 받았습니다.	항상 새로운 콘텐츠가 생기고 영화도 자주 업데이트 되어서 아주 유용하게 잘 사용하고있습니나	1
7869	2020년 10월 1일	별표 5개 만점에 1개를 받았습니다.	이거 회원 탈퇴어떻게해요	0
871	2019년 2월 4일	별표 5개 만점에 1개를 받았습니다.	앱이 더 엉망이 된거는 둘째치고 바탕색이 시커매서 보기만해도 짜증나고 눈이 아픔. 바탕색을 다른 색으로 바꿀 수 있게라도 만들어주던가. 도대체 누가 이따위로 만들라고했는지, LG유플러스 그 직원 짤라버려야되는거 아님?	0
13377	2019년 6월 18일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
6456	2019년 1월 31일	별표 5개 만점에 1개를 받았습니다.	전에 있던 비디오 포털보다 사용하기 엄청 불편함	0
10055	2018년 10월 15일	별표 5개 만점에 1개를 받았습니다.	영화좀 업그레이드 하소	0
11426	2021년 3월 13일	별표 5개 만점에 5개를 받았습니다.	영화가 많아요	1
16006	2018년 9월 4일	별표 5개 만점에 2개를 받았습니다.	업데이트 시간이 오래 걸리네요 개선좀 해줘요~~~	0
9090	2018년 10월 20일	별표 5개 만점에 5개를 받았습니다.	못 본영화도 다시 볼수잇어 너무너무 좋아요^^	1
11082	2019년 10월 24일	별표 5개 만점에 5개를 받았습니다.	역시유플러스	1
4314	2019년 1월 31일	별표 5개 만점에 1개를 받았습니다.	갤럭시탭A 영상은 안 나오고 음성만 나옴 빠른 업데이트 요망 ^^	0
3447	2020년 10월 16일	별표 5개 만점에 3개를 받았습니다.	명화, 중교영화가 너무 없고 중복되는 영화가 너무 많다	1
577	2018년 11월 11일	별표 5개 만점에 3개를 받았습니다.	어플 너무 좋고 잘 쓰고 있습니다. 관련 영상 추천이 되는 것도 있고 안되는 것도 있어 불편합니다. 장르별 검색도 가능했으면 좋겠고 그제부터 자꾸 에러가 나 잡속이 되질 않습니다. 기종은 s8입니다. 아이패드로 연결했을 땐 잘 되는데 멸째 이러니 답답합니다. 영화를 찾아보기가 너무 아쉽습니다. 수상작들이나 카테고리별로 분류가 잘 되우있음 좋겠고 코멘트도 일괄 잘 이뤄져있음 좋겠습니다. 뭔가 좋은데 좀 아쉽습니다. 더 사용해보고 구체적으로 말씀은 드리겠습니다.	1
13328	2019년 6월 17일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
7854	2020년 6월 8일	별표 5개 만점에 4개를 받았습니다.	좀더많은무료영상좀넣어주세요	1
6686	2018년 10월 16일	별표 5개 만점에 5개를 받았습니다.	정말 좋네요 무협씨리즈 좀자주올려주세요^^	1
15971	2018년 8월 26일	별표 5개 만점에 3개를 받았습니다.	업데이트 후 다운로드 미지원으로 나오는데 이제 다운로드는 안되는건가요?	1
11232	2019년 1월 31일	별표 5개 만점에 1개를 받았습니다.	화면 안나옴	0
4253	2019년 2월 22일	별표 5개 만점에 5개를 받았습니다.	모바일실시간TV 애청자로서 편리하게 너무잘사용중입니다.감사합니다	1
7676	2019년 12월 28일	별표 5개 만점에 3개를 받았습니다.	업데이트가 시도때도없네요.....	1
6426	2019년 10월 27일	별표 5개 만점에 5개를 받았습니다.	지상파 없어도 실시간 너무 좋아요	1
14526	2019년 1월 29일	별표 5개 만점에 4개를 받았습니다.	굿	1
11606	2020년 11월 26일	별표 5개 만점에 4개를 받았습니다.	알았어요	1
9054	2018년 10월 15일	별표 5개 만점에 5개를 받았습니다.	괜찮아요 쓰기좋네요	1
9335	2018년 10월 15일	별표 5개 만점에 5개를 받았습니다.	새무료영화가 많아 좋아묘 드라마뚜	1
9973	2019년 2월 22일	별표 5개 만점에 5개를 받았습니다.	사용하기 편해요.	1
25	2021년 2월 10일	별표 5개 만점에 1개를 받았습니다.	일시적인오류(10) 이거 언제 해결할런지 모르겠네 뭔 자꾸 인터넷을 껏다키라는건지 원초적인 해결을 해야지 폰자체를 껏다키면 일시적으로 이용하는데 또그러고 또그러고 그럼 뭔가 문제가있는건데 대대적으로 업데이트를하던가 해결을 봐야지 하..lg u+씩이나 되가지고 이게 대체 언제적부터 이런건데..몇년째 쓰는데 점점 쓰레기네..	0
14061	2019년 2월 3일	별표 5개 만점에 1개를 받았습니다.	업뎃 전이 더 깔끔하고 쓰기 편해는데, 업뎃 후 더 조잡해지고 버퍼링 심해졌음	0
14088	2019년 2월 3일	별표 5개 만점에 1개를 받았습니다.	왜안들어가지는데	0
7483	2019년 6월 17일	별표 5개 만점에 5개를 받았습니다.	좋은 정보 많이 내재되어 있음	1
9333	2019년 2월 15일	별표 5개 만점에 5개를 받았습니다.	개관기념 영화이벤트 좋아요~^^	1
13026	2019년 7월 23일	별표 5개 만점에 4개를 받았습니다.	좋아요	1
5464	2019년 7월 4일	별표 5개 만점에 1개를 받았습니다.	비디오포털 다운 받은 목록 없다고 뜨는데 어떻게 수정하나요??? ============================== 다운로드가 배그라운드에서는 자동으로안되네요 하나다운받을때마다켰다가 꺼야하나요?	0
13602	2019년 3월 22일	별표 5개 만점에 5개를 받았습니다.	조아요	1
4357	2019년 2월 16일	별표 5개 만점에 1개를 받았습니다.	원래대로 인터페이스 바꿔라 겉만 번지르르하게 수정하곤 가독성 편의성 전부 이전만 못하다 이 업데이트 기획한사람 머리에 똥찬듯	0
13032	2019년 10월 11일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
530	2020년 11월 28일	별표 5개 만점에 1개를 받았습니다.	저... 죄송한데 자꾸 예전보다 더끊기거든여!!^^ 확인 해주시면 대단히 감사하겠습니다^^ 그리고 다운로드 속도좀 높여주시면 감사하겠습니다^^ 최대 빠르게 해주시면 대단히 감사하겠습니다..^^~ 그리고 제발 네트워크 오류나 끊기는현상은 최대한 삼가해주세여 예능 보고 드라마도보는 데 흐름이너무너무 많이 깨집니다!!!!!!! 제발~~~~ 부탁드립니다...!!!!!!!!!!!!!!!!!!!	0
9201	2019년 2월 1일	별표 5개 만점에 1개를 받았습니다.	업데이트때문에 1점드림 이런걸서비스라고한거인가요? 댁이써봐	0
1331	2019년 1월 29일	별표 5개 만점에 1개를 받았습니다.	전에는 팝업창으로보면서 어플키면 다른프로그램 뭐하는지 볼수있었는데.현재 업그레이드된후에는 어플누르면 팝업화면이 전체보기로 되네요.너무불편해요. 팝업창으로보면서 다른거 실시간으로 뭐하는지 볼수있게해주세요	0
12471	2019년 12월 21일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
10365	2020년 12월 8일	별표 5개 만점에 5개를 받았습니다.	쓸만해요	1
6396	2019년 1월 29일	별표 5개 만점에 5개를 받았습니다.	항상 사용하던 어플이고 이번에 개편됐는데 역시나 좋아요~^^ 굿~ yeshahaha@핫메일닷컴	1
3544	2019년 9월 5일	별표 5개 만점에 1개를 받았습니다.	갤럭시 탭s3도 지원해주세요 파이로 올라간모델인데 솔직히 이걸 폰으로 볼일이 거의없어요 탭이나 패드 아니고서야 .....추가 )그앱 이 랙도 많고 가로버전 이나 세로나 ui 가 제대로 안만들어져있고 솔직히 사람 편하ㅔ게 보라곻만든게 아닌거같아요	0
13283	2019년 5월 31일	별표 5개 만점에 5개를 받았습니다.	무료	1
13423	2020년 10월 12일	별표 5개 만점에 1개를 받았습니다.	계속 튕김	0
14692	2018년 10월 16일	별표 5개 만점에 5개를 받았습니다.	ok	1
50	2021년 1월 22일	별표 5개 만점에 1개를 받았습니다.	아니!!! 요즘 왜캐 오류가 자주나요? 영화보다 오류10 자꾸 떠서 지금 승질이... 저번에도 하루종일 그러더니 오류좀 자제 해달라고요!××××××	0
12505	2019년 12월 21일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
10414	2019년 2월 20일	별표 5개 만점에 5개를 받았습니다.	처음에 인증문제로 거시기햇지만 굿입니다	1
9530	2019년 10월 12일	별표 5개 만점에 1개를 받았습니다.	왜~~~다운로드 대기만 뜨고 안대냐고{평점}0점	0
2302	2019년 2월 12일	별표 5개 만점에 1개를 받았습니다.	최악이네요 월정액가입은 6개나해놧는데 이랫다저랫다 그전회차보이지않고 다운로드눌러도 해당페이지어쩌고뜨고 폰이이상한가 다른폰으로도 들어가서해도 똑같고 업데이트도대체겉에만 바뀌면 그게단가여? 계속이렇게하실꺼면돈환불해주세요	0
6719	2019년 2월 4일	별표 5개 만점에 1개를 받았습니다.	예전 버전으로 바꿀수 없나요 그지같아서 못쓰겠어여	0
3473	2018년 11월 2일	별표 5개 만점에 4개를 받았습니다.	로그인이 안되여! 몇번이나 비번 바꿔서 다시 로그인했은데 아무리해도안되여ㅠㅠ	1
12246	2020년 1월 2일	별표 5개 만점에 3개를 받았습니다.	Soso	1
233	2020년 10월 18일	별표 5개 만점에 1개를 받았습니다.	음질이 이상합니다...어느날 이어폰끼고 영화를 시청하는데 거슬릴정도로 지지직거리더라구요 이어폰문제인줄알고 이어폰을 빼고 시청해도 지지직거리는 잡음이 들려서 기기문제인줄알았으니나 유튜브나 넷플릭스 지니등 다른 어플등에서는 아무문제가 없었습니다. 최근들어서는 시청하는데에 아주 불편을 줘서 시청이 불가능한 수준입니다. 등장인물들 대화소리까지 기계음으로 들릴정도입니다....업데이트도 해보고 어플제거후 다시 설치해도 마찬가지입니다. 어떻게 해야 될까요??담당부서에서 원인을 파악중이니 빠른시일내에 정상화하겠습니다 같은 답변말고 구체적인 해결방안을 원합니다.	0
13203	2020년 5월 25일	별표 5개 만점에 1개를 받았습니다.	또한 주	0
12857	2019년 10월 15일	별표 5개 만점에 5개를 받았습니다.	굿	1
1818	2019년 12월 16일	별표 5개 만점에 1개를 받았습니다.	뭐죠?로그아웃 되어있고 비밀번호 5회 실패로 초기화 되었다 되어있는데 그냥 넘어 가려 했는데 이런 일이 종종 발생하네요? 진ㅉ ㅏ 중국 인터넷 망 가져가 쓰더니 보안 불안한거 아니죠? 말 많던데요?	0
5429	2019년 2월 27일	별표 5개 만점에 1개를 받았습니다.	네트워크오류 계속 뜨네 유투브랑 다른것들은 다 잘되는데	0
5607	2019년 6월 19일	별표 5개 만점에 1개를 받았습니다.	해당 페이지 오류나면서 계속 안됨	0
5385	2019년 2월 2일	별표 5개 만점에 1개를 받았습니다.	연결 지연됩니다. 괜히 업데이트하신듯.	0
443	2020년 12월 18일	별표 5개 만점에 4개를 받았습니다.	간혹 시간 보내기좋아요.	1
5847	2019년 2월 1일	별표 5개 만점에 1개를 받았습니다.	어플이 이게뭐죠? 화면 안넘어가네요 무슨 업드이트하고 더 이상해지지	0
4610	2019년 2월 17일	별표 5개 만점에 5개를 받았습니다.	좀더 간편해지고 다양하게 바뀐 것 같아요 무료영화도 바로바로 업데이트 되고요	1
8162	2019년 1월 30일	별표 5개 만점에 5개를 받았습니다.	사용하기가 더편하고 컨텐츠도 맘에들어요♡ as002as@네이버닷컴	1
5968	2018년 11월 27일	별표 5개 만점에 4개를 받았습니다.	사용하기 편리한 기능이 많아 좋습니다	1
9284	2018년 10월 24일	별표 5개 만점에 1개를 받았습니다.	업뎃 자체가 안되요 그래서 이용불가라구요	0
1398	2019년 2월 6일	별표 5개 만점에 1개를 받았습니다.	갤럭시탭으로 보는데 자막 크기가 뭐 이리 무지막지하게 크죠? 글씨가 지들끼리 겹치고 너무 커서 짤리고 영상 화면까지 침범하고 도저히 볼 수가 없어요. 자막 크기 설정은 어떻게 바꿔야 하죠? 설정 들어가도 없고 영상 보는 화면에서도 언어 설정밖에 없던데.	0
10868	2018년 10월 15일	별표 5개 만점에 5개를 받았습니다.	오우..아주 좋아요	1
15343	2018년 11월 10일	별표 5개 만점에 4개를 받았습니다.	좋아유	1
1239	2019년 6월 8일	별표 5개 만점에 1개를 받았습니다.	방금전에 실시간tv 보다가 종료한후에 재실행하려고하니 화면만 뜨고 누르는 화면마다 [해당 페이지는 현재 이용하실수 없는 페이지입니다] 라는 문구가 뜨네요 그어떤것도 실행되지않아요 19.6.8/20:46	0
14016	2019년 2월 24일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
15115	2018년 9월 11일	별표 5개 만점에 3개를 받았습니다.	EPG데이터를 받지 못하였습니다 에러때문에 실시간tv를 볼수없습니다 방법좀	1
12910	2019년 10월 11일	별표 5개 만점에 4개를 받았습니다.	좋아요	1
3093	2020년 2월 19일	별표 5개 만점에 3개를 받았습니다.	전에스케인데 비디오포털 다운받았고 가입만했어요 유플러스요금제가 아니니 따로나가는 요금 없는거죠? 자동으로빠지는거라든가 ?	1
3346	2019년 6월 17일	별표 5개 만점에 3개를 받았습니다.	사용하기 좋기는하나 무료 서비스가너무 없어져서 조금 실망입니다 다양한 서비스를무료로 제공받는다면 더더욱 좋겠죠~	1
9225	2019년 2월 1일	별표 5개 만점에 1개를 받았습니다.	업데이트가 안되..	0
1814	2019년 3월 2일	별표 5개 만점에 1개를 받았습니다.	최신 업데이트 이후 끊김현상 발생...ㅜㅜ 예전엔 그러지 않았는데 어찌 더 안좋은 상태로 업데이트를 하게 하는 지.. 준비가 안되었으면 업데이트를 하시면 안되죠	0
3250	2019년 2월 28일	별표 5개 만점에 5개를 받았습니다.	재미있고 영화보고싶어는영화볼수있서요 그데 불편점이있서요 영화볼려고하는데 결재가안돼요 미리초과돼서 구매할수없습니다 이게무슨말이죠	1
4644	2019년 6월 17일	별표 5개 만점에 1개를 받았습니다.	도대체 뭘 업데이트한거죠? 며칠째 안 되고 있는데 업데이트해도 죄송하다는 팝업만 뜨잖아요. 테스트해본거 맞나요? 제대로 할 생각이 없으면 접으세요. 6월초부터 이랬는데 아직도 그대로면 문제있는거 아닌가요?!	0
6883	2019년 6월 18일	별표 5개 만점에 5개를 받았습니다.	간단히 시청하기 편해요	1
5370	2019년 2월 5일	별표 5개 만점에 1개를 받았습니다.	인터페이스가 너무 불편해요.비디오포털이 나을정도	0
12039	2020년 5월 15일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
5116	2018년 10월 9일	별표 5개 만점에 1개를 받았습니다.	갑자기 로그아웃 됐고 로그인도 안됨 개짜증나요	0
2566	2019년 2월 2일	별표 5개 만점에 1개를 받았습니다.	분명 어제 영화봤는데 갑자기 없어져서 한동안 어플찾아 헤맸네요 겨우 찾았더니 오류라고 접속도 못하고 영화한편 보려다 20분째 이도저도 못하고있습니다	0
2981	2019년 1월 29일	별표 5개 만점에 5개를 받았습니다.	집에서도 밖에서도 자주 이용하는데 예뻐진 전체적인 색감이 너무맘에 들어요~^^ 앞으로 더 자주 이용할꺼 같아 기대 됩니다~^^	1
4483	2019년 2월 22일	별표 5개 만점에 1개를 받았습니다.	큰화면에서 채널변경이 않되네요 예전 버전이 더 조은듯 하네요	0
1176	2019년 1월 17일	별표 5개 만점에 1개를 받았습니다.	영상 볼때 기본으로 설정되어있는 밝기조절 좀 어떻게 할수 없나요? 주로 밤에 보는편인데 항상 밝기가 최대로 설정되어 있어서 틀때마다 눈이 아프네요. 이것때문에 설정에서 아무리 찾아봐도 이와 관련한부분이 안보여서 리뷰로 문의드립니다	0
15054	2019년 2월 7일	별표 5개 만점에 4개를 받았습니다.	굿	1
15011	2019년 3월 5일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
7158	2019년 2월 12일	별표 5개 만점에 1개를 받았습니다.	왜 앱을 바꾼건지... 업그레이드가 아닌 다운그레이드 되었네요	0
12683	2019년 10월 11일	별표 5개 만점에 4개를 받았습니다.	부탁드립니다	1
1512	2019년 6월 16일	별표 5개 만점에 1개를 받았습니다.	진짜 미치겠어요, 한번 들어가지고 그다음에 들어가려면 앞에 분홍색 유플러스에서 안넘어가요. 업데이트제거하고 다시 깔아야 들어가집니다. 왜이런거예요? 갑자기 일주전부터그러는데 해결좀해주세요.	0
931	2019년 6월 12일	별표 5개 만점에 1개를 받았습니다.	어플이 며칠째 실행이 안되네요 탭은 눌러지는데 이용할수없다는 팝업만 뜨고...혹시나해서 들어왔더니 다른 이용자들도 똑같은 상황이네요? 이정도 문의와 컴플레인이 나오는 상황이면 원인 파악하고 공지를 통해서든 어떤 통로를 통해서라도 알리고 사과를하든 해결을 하든 해야하는거 아닌가요..	0
5221	2019년 6월 18일	별표 5개 만점에 1개를 받았습니다.	접속하면 업데이트있다고 하고 업데이트 누르면 업데이트는 안돼고..	0
7574	2019년 2월 17일	별표 5개 만점에 5개를 받았습니다.	처음엔 어색했지만 지금은 너무 편하게 잘 이용하고 있습니다 넘 좋아요	1
12003	2020년 4월 29일	별표 5개 만점에 5개를 받았습니다.	좋아용	1
14509	2019년 1월 29일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
4469	2019년 6월 16일	별표 5개 만점에 1개를 받았습니다.	사용하면서 오류도 너무많고 실행이 않될때가너무 많아요...	0
7603	2019년 12월 20일	별표 5개 만점에 1개를 받았습니다.	업데이트를 너무 자주 합니다.	0
5290	2019년 12월 24일	별표 5개 만점에 1개를 받았습니다.	업데이트 너무 징글징글하게.안되네요!!!! 지겨워서 삭제합니다	0
16137	2019년 3월 4일	별표 5개 만점에 3개를 받았습니다.	늦어요	1
5825	2019년 1월 29일	별표 5개 만점에 4개를 받았습니다.	메뉴구성이 넷플릭스랑 민망할정도로 똑같네 ㅋ 불만은없음	1
10480	2019년 9월 14일	별표 5개 만점에 5개를 받았습니다.	무료드라마언제까지무료인가요??	1
4598	2019년 12월 1일	별표 5개 만점에 1개를 받았습니다.	존윅3, 람보라스트워 다제잘못인가요?? 돈만원씩주고 구매하고 보는데 영화나오다가 재생할수없다는 매세지뜨고 계속 시도하도 안뜨는데 사람호구로 보이는겁니까?? 이게 한두번이여야죠~ 진짜좋은말로 하는것도 이게마지막입니다	0
1594	2019년 2월 1일	별표 5개 만점에 1개를 받았습니다.	업데이트 소개할때는 훨씬 편리해졌다더니 엄청 불편해짐. 무료 영화도 많고 쓰기 편해서 계속 사용하려했는데, 약정도 4월까진데 이거 때문에 통신사도 바꿀까 생각중입니다 ㅡㅡ	0
14453	2019년 2월 2일	별표 5개 만점에 3개를 받았습니다.	잘모르겠네요	1
14496	2019년 1월 29일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
8924	2019년 1월 29일	별표 5개 만점에 5개를 받았습니다.	좋아요.편해요.즐거워요.	1
10106	2019년 10월 13일	별표 5개 만점에 1개를 받았습니다.	정액제해놓고안나오면어떻케	0
8962	2019년 1월 31일	별표 5개 만점에 1개를 받았습니다.	이게 업데이트니 다운데이트지ㅡㅡ	0
9083	2019년 2월 2일	별표 5개 만점에 1개를 받았습니다.	3D음향 못 끄나요?	0
8681	2019년 1월 31일	별표 5개 만점에 1개를 받았습니다.	업데이트 후 앱 실행이 안돼요	0
8551	2020년 5월 31일	별표 5개 만점에 1개를 받았습니다.	일시적오류 20 이라고뜨면서 실행이 안되는데요?	0
15490	2018년 10월 5일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
12344	2019년 12월 20일	별표 5개 만점에 4개를 받았습니다.	ㅜ가끔끊겨요	1
2500	2019년 2월 2일	별표 5개 만점에 1개를 받았습니다.	비디오포털 구성이 훨씬 사용하기 편합니다. 이건뭐 화면이 너무커서 이달에 새로운 영화 찾다가 보기 불편해서 걍 나왔어요	0
6493	2019년 1월 30일	별표 5개 만점에 5개를 받았습니다.	오 좋아졌네여 고객 니즈가 잘 반영댄거 같네여	1
13760	2019년 2월 15일	별표 5개 만점에 4개를 받았습니다.	good	1
12436	2019년 12월 20일	별표 5개 만점에 5개를 받았습니다.	만족합니다	1
2665	2019년 6월 8일	별표 5개 만점에 3개를 받았습니다.	갑자기 앱 자체가 안들어가지고 폰을 재부팅해도 마찬가지고 .... 앱 설치를 지웠다가 재설치를 해도 마찬가지입니다	1
10364	2019년 6월 16일	별표 5개 만점에 1개를 받았습니다.	나빠 넘 안좋아	0
15000	2019년 2월 11일	별표 5개 만점에 5개를 받았습니다.	좋다	1
14976	2018년 10월 17일	별표 5개 만점에 5개를 받았습니다.	좋아요	1
7641	2019년 1월 31일	별표 5개 만점에 5개를 받았습니다.	한마디로 세련되어진것 같습니다. 네플릭스같은 느낌이 나네요. ryanjjh@네이버닷컴	1
12201	2019년 12월 22일	별표 5개 만점에 5개를 받았습니다.	짱! 강추!	1
8745	2019년 6월 8일	별표 5개 만점에 3개를 받았습니다.	돈 내야 돼는게 너무많은것같아요	1
12887	2019년 10월 12일	별표 5개 만점에 5개를 받았습니다.	굿	1
12502	2019년 12월 20일	별표 5개 만점에 5개를 받았습니다.	굿	1
11436	2021년 3월 13일	별표 5개 만점에 5개를 받았습니다.	👍	1
15210	2018년 9월 4일	별표 5개 만점에 5개를 받았습니다.	너무많이 봅니다	1
15181	2018년 10월 20일	별표 5개 만점에 5개를 받았습니다.	헤헤헤	1
4295	2019년 2월 20일	별표 5개 만점에 5개를 받았습니다.	비디오포털이 좀더 나은거같아요 화면은 좋은데요 티비 연동이 불편하네요 gksdb9640@네이버닷컴	1
851	2019년 2월 3일	별표 5개 만점에 1개를 받았습니다.	아 별 하나도 진짜 아깝다. 비디오 포털 머하자는 거지요? 본인 핸펀에 문제 인줄 알고 1시간동안 포털 찾다가 없어서 업데이트 했는데 메인 화면이 왜 빨간색 ????? 메인 화면 부터 왜 바뀐 거냐?그리고 참고로 이번 업뎃으로 폭망했음 한다.. 기존에 사용 하던방식에 적응된 유저들은 다 알거라 생각 한다...정말 불편하고 쓰잘데기 없는 요번 작품은 누구의 머리에서 나온거냐? 스크롤 내리면 되던 방식에서, 유저가 클릭 장인도 아니고ㅡㅡ한땀한땀 찍어서 봐야 하는 불편한 진실 .. 그리고 정회원인데 왜 보는것마다 돈을 또 청구하라고 하냐... 몇년동안 잘 쓰고 있는데 먼 개수작 이야. 그리돈이 좋으면 다른 방식으로 해라, 볼게 없어서 u+보는게 아니다.. 참고로 모바일 3300 원 . 정회원 8800원 둘다 취소 할란다. 씁알..	0
13144	2019년 6월 17일	별표 5개 만점에 3개를 받았습니다.	보통	1
13922	2019년 2월 21일	별표 5개 만점에 5개를 받았습니다.	굿	1
8022	2019년 1월 31일	별표 5개 만점에 1개를 받았습니다.	별로 안 좋아요. 전에 사용한것이 더 편함 ㅠㅠ	0
